alpha,N,True_N,converged,loglik,conv
100.0,11,11,True,9.494985137457382,yes
100.0,12,11,True,9.494931730816397,yes
100.0,13,12,True,9.408814367572958,yes
100.0,14,13,True,9.511353758237819,yes
100.0,15,13,True,9.41099955693453,yes
100.0,16,13,False,9.511255333777372,no
100.0,17,14,True,9.514448346119053,yes
100.0,18,15,True,9.511693016707476,yes
100.0,19,15,True,9.51169301608837,yes
100.0,20,16,True,9.391243500807413,yes
100.0,21,17,True,10.604924965221093,yes
100.0,22,17,True,10.605256833666333,yes
100.0,23,18,False,11.154050938115962,no
100.0,24,19,True,11.130528732985299,yes
100.0,25,18,False,11.126853369771053,no
100.0,26,18,False,11.126853368362163,no
100.0,27,20,True,11.143588751103463,yes
100.0,28,21,True,10.998287904331956,yes
100.0,29,21,True,10.998241277094035,yes
100.0,30,23,True,10.994253320417702,yes
100.0,31,22,True,10.998577827203992,yes
100.0,32,21,True,11.02369492960135,yes
100.0,33,21,True,11.22132553750786,yes
100.0,34,21,False,11.221220108320095,no
100.0,35,22,False,11.226528866379017,no
100.0,36,22,False,11.39459535867892,no
100.0,37,23,False,11.37104131454744,no
100.0,38,23,False,11.374661919803785,no
100.0,39,24,False,11.341875792347485,no
100.0,40,25,False,11.221636415921717,no
100.0,41,25,False,11.228079821773555,no
100.0,42,25,False,11.229806849182156,no
100.0,43,25,False,11.22316571445877,no
100.0,44,26,False,11.170023592580883,no
100.0,45,26,True,10.982526033689824,yes
100.0,46,25,False,11.015248807673895,no
100.0,47,25,False,11.015249280802916,no
100.0,48,26,True,11.011036049746242,yes
100.0,49,26,False,11.011043127322669,no
100.0,50,24,False,11.007708933279822,no
100.0,51,25,False,11.013278673252463,no
100.0,52,24,False,11.007941069200767,no
100.0,53,26,False,11.00224858318546,no
100.0,54,28,False,11.196242255737925,no
100.0,55,24,False,11.28252024064935,no
100.0,56,24,False,11.28371786786142,no
100.0,57,25,True,11.260096336129742,yes
100.0,58,24,False,11.28353682965483,no
100.0,59,25,False,11.290789053343515,no
100.0,60,26,False,11.289944131207882,no
100.0,61,27,False,11.361818548878075,no
100.0,62,27,False,11.361758538439778,no
100.0,63,28,False,11.33826920352018,no
100.0,64,26,True,11.336661504548868,yes
100.0,65,26,False,11.262725641100685,no
100.0,66,25,True,11.290349692416653,yes
100.0,67,28,False,11.26534668982463,no
100.0,68,27,False,11.288835747682176,no
100.0,69,27,True,11.367969460765293,yes
100.0,70,26,False,11.367338383907631,no
100.0,71,26,False,11.28812187454713,no
100.0,72,26,False,11.288146452109583,no
100.0,73,26,False,11.288146450981817,no
100.0,74,26,False,11.288185508244695,no
100.0,75,25,False,11.282317979166786,no
100.0,76,25,False,11.282322632525197,no
100.0,77,25,False,11.282322632340863,no
100.0,78,25,False,11.282322631807833,no
100.0,79,25,False,11.286526166634923,no
100.0,80,26,False,11.286646900655949,no
100.0,81,27,True,11.263158578144617,yes
100.0,82,27,False,11.263949526519568,no
100.0,83,27,False,11.260573765341492,no
100.0,84,27,False,11.255337267734616,no
100.0,85,30,False,11.185898579613237,no
100.0,86,30,False,11.26419055286737,no
100.0,87,31,False,11.18576801628562,no
100.0,88,28,False,10.990197031340807,no
100.0,89,28,False,10.990196608890638,no
100.0,90,27,False,11.065988188739253,no
100.0,91,28,False,11.068149126225185,no
100.0,92,31,False,11.253914742726034,no
100.0,93,31,False,11.253914742342676,no
100.0,94,29,False,11.064195468460914,no
100.0,95,26,False,11.06111782410457,no
100.0,96,26,False,11.06111843445275,no
100.0,97,26,True,11.060825541886274,yes
100.0,98,26,False,11.058598666500037,no
100.0,99,26,False,11.058598666443196,no
100.0,100,28,False,11.058521870166665,no
1000.0,2,2,True,-3.627905245694874,yes
1000.0,3,3,True,1.4333170159446862,yes
1000.0,4,4,True,3.270646304842155,yes
1000.0,5,5,True,4.3872364222955165,yes
1000.0,6,6,True,7.134236082619368,yes
1000.0,7,7,True,7.159900954163842,yes
1000.0,8,8,True,8.132596711817571,yes
1000.0,9,9,True,8.507672890925727,yes
1000.0,10,10,True,8.586167100556157,yes
1000.0,11,11,True,9.44681941423013,yes
1000.0,12,11,True,9.446782121785933,yes
1000.0,13,12,True,9.36066045031586,yes
1000.0,14,13,True,9.463424847187122,yes
1000.0,15,13,True,9.362922384741385,yes
1000.0,16,13,False,9.463162813145463,no
1000.0,17,14,True,9.466406016941677,yes
1000.0,18,15,True,9.463641300087259,yes
1000.0,19,15,True,9.463641299763982,yes
1000.0,20,16,False,9.343167760704576,no
1000.0,21,17,True,10.55719303184457,yes
1000.0,22,17,True,10.557185754895613,yes
1000.0,23,18,False,11.105985886140537,no
1000.0,24,19,False,11.082481501843654,no
1000.0,25,18,False,11.07880267179781,no
1000.0,26,18,True,11.078802672394248,yes
1000.0,27,20,True,11.095615085107294,yes
1000.0,28,21,True,10.950242304732813,yes
1000.0,29,21,True,10.950205155365094,yes
